DATE,EXPIRY,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,OPTION TYPE,STRIKE PRICE
2021-05-20,2021-05-27,33779.0,33913.75,33387.0,33445.7,33490.0,33445.7,2949650,25,99243401178.75,1414850.0,-172450.0,BANKNIFTY,FUTIDX,2021,,
2021-05-20,2021-05-27,33779.0,33913.75,33387.0,33445.7,33490.0,33445.7,2949650,25,99243401178.75,1414850.0,-172450.0,BANKNIFTY,FUTIDX,2021,,
2021-05-19,2021-05-27,33810.0,34030.0,33655.0,33800.75,33815.2,33800.75,3557050,25,120313644616.25,1587300.0,-53875.0,BANKNIFTY,FUTIDX,2021,,
2021-05-18,2021-05-27,33944.75,34244.0,33801.05,34045.2,34086.35,34045.2,3929350,25,133775970555.0,1641175.0,-90575.0,BANKNIFTY,FUTIDX,2021,,
2021-05-17,2021-05-27,32452.0,33605.15,32366.05,33548.85,33580.0,33548.85,5326350,25,176237827660.0,1731750.0,244025.0,BANKNIFTY,FUTIDX,2021,,
2021-05-14,2021-05-27,32500.05,32698.65,32184.0,32265.2,32202.9,32265.2,3752375,25,121580047230.0,1487725.0,131700.0,BANKNIFTY,FUTIDX,2021,,
2021-05-12,2021-05-27,32775.0,32817.0,32423.05,32520.3,32515.0,32520.3,4231075,25,138081885563.75,1356025.0,91450.0,BANKNIFTY,FUTIDX,2021,,
2021-05-11,2021-05-27,32755.0,33288.95,32700.0,32952.5,32928.8,32952.5,4439475,25,146454017221.25,1264575.0,-238175.0,BANKNIFTY,FUTIDX,2021,,
2021-05-10,2021-05-27,33250.0,33500.0,33165.0,33302.65,33343.35,33302.65,2939475,25,97938144423.75,1502750.0,73725.0,BANKNIFTY,FUTIDX,2021,,
2021-05-07,2021-05-27,33203.35,33367.65,32861.7,33038.4,33005.05,33038.4,3596125,25,119087529025.0,1429025.0,28625.0,BANKNIFTY,FUTIDX,2021,,
2021-05-06,2021-05-27,33107.85,33144.4,32655.0,32953.75,33011.3,32953.75,3810700,25,125375079572.5,1400400.0,-103825.0,BANKNIFTY,FUTIDX,2021,,
2021-05-05,2021-05-27,32730.0,33060.7,32134.7,32973.65,33060.7,32973.65,5273450,25,172709802720.0,1504225.0,-5775.0,BANKNIFTY,FUTIDX,2021,,
2021-05-04,2021-05-27,32755.05,33206.0,32316.5,32422.55,32445.0,32422.55,5544725,25,181913324120.0,1510000.0,19400.0,BANKNIFTY,FUTIDX,2021,,
2021-05-03,2021-05-27,32350.0,32757.65,31625.0,32655.85,32736.2,32655.85,5570925,25,180600720908.75,1490600.0,206775.0,BANKNIFTY,FUTIDX,2021,,
2021-04-30,2021-05-27,33197.65,33599.65,32812.1,32893.55,32824.9,32893.55,5255675,25,174465337631.25,1283825.0,-56425.0,BANKNIFTY,FUTIDX,2021,,
2021-04-30,2021-05-27,33197.65,33599.65,32812.1,32893.55,32824.9,32893.55,5255675,25,174465337631.25,1283825.0,-56425.0,BANKNIFTY,FUTIDX,2021,,
2021-04-29,2021-05-27,33999.7,34412.75,33426.05,33807.25,33734.95,33807.25,3121900,25,105699828040.0,1340250.0,299425.0,BANKNIFTY,FUTIDX,2021,,
2021-04-28,2021-05-27,32975.25,33899.65,32947.65,33840.85,33805.0,33840.85,1766100,25,59178372145.0,1040825.0,406275.0,BANKNIFTY,FUTIDX,2021,,
2021-04-27,2021-05-27,32406.7,32897.95,32235.05,32856.15,32880.0,32856.15,896000,25,29297518442.5,634550.0,205950.0,BANKNIFTY,FUTIDX,2021,,
