symbol,prev_close,open,high,low,close,settlement,net_change,open_interest,volume,trades,underlying_price,notional_value,premium_traded,underlying,expiry,strike,option_type,spread_bps,return,moneyness,days_to_expiry,implied_volatility,date,bid_ask_spread,relative_spread_bps,effective_spread,realized_spread
OPTSTKPOWERGRID30-SEP-2025CE315,2.35,0.2,0.2,0.2,0.2,1.6,0.75,1.0,1900.0,1.0,279.9,598880.0,380.0,POWERGRID30,SEP,2025315.0,CE,0.0,-0.9148936170212765,0.00013820072433177061,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKPOWERGRID28-AUG-2025CE265,19.3,17.5,17.5,17.5,17.5,15.0,4.3,20.0,15200.0,8.0,279.9,4294000.0,266000.0,POWERGRID28,AUG,2025265.0,CE,0.0,-0.09326424870466325,0.00013820413624883655,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKPOWERGRID28-AUG-2025PE330,46.25,49.4,49.4,49.4,49.4,50.0,3.75,112.0,1900.0,1.0,279.9,720860.0,93860.0,POWERGRID28,AUG,2025330.0,PE,0.0,0.06810810810810808,0.00013819970078950096,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKPOWERGRID30-SEP-2025CE265,23.95,19.4,19.4,19.4,19.4,20.5,3.45,4.0,7600.0,4.0,279.9,2161440.0,147440.0,POWERGRID30,SEP,2025265.0,CE,0.0,-0.1899791231732777,0.00013820413624883655,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKPOWERGRID28-AUG-2025CE330,0.0,0.05,0.05,0.05,0.05,0.0,0.0,146.0,1900.0,1.0,279.9,627095.0,95.0,POWERGRID28,AUG,2025330.0,CE,0.0,inf,0.00013819970078950096,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKPOWERGRID28-AUG-2025CE320,0.1,0.05,0.05,0.05,0.05,0.05,0.05,462.0,142500.0,75.0,279.9,45607125.0,7125.0,POWERGRID28,AUG,2025320.0,CE,0.0,-0.5,0.00013820038314932948,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKPOWERGRID28-AUG-2025PE250,0.0,0.05,0.05,0.05,0.05,0.05,0.05,111.0,1900.0,1.0,279.9,475095.0,95.0,POWERGRID28,AUG,2025250.0,PE,0.0,inf,0.0001382051598568078,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKPOWERGRID28-AUG-2025CE310,0.05,0.05,0.05,0.05,0.05,0.05,0.0,786.0,55100.0,29.0,279.9,17083755.0,2755.0,POWERGRID28,AUG,2025310.0,CE,0.0,0.0,0.00013820106551589632,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKPRESTIGE30-SEP-2025CE1500,195.6,140.0,140.0,140.0,140.0,164.4,31.2,15.0,450.0,1.0,1609.0,738000.0,63000.0,PRESTIGE30,SEP,20251500.0,CE,0.0,-0.2842535787321063,7.94509048712441e-05,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKPRESTIGE28-AUG-2025CE1940,0.0,0.2,0.2,0.2,0.2,0.0,0.0,18.0,450.0,1.0,1609.0,873090.0,90.0,PRESTIGE28,AUG,20251940.0,CE,0.0,inf,7.944917869596691e-05,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKPRESTIGE28-AUG-2025CE1860,0.5,0.2,0.2,0.2,0.2,0.0,0.5,61.0,6300.0,14.0,1609.0,11719260.0,1260.0,PRESTIGE28,AUG,20251860.0,CE,0.0,-0.6,7.944949254043826e-05,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKSONACOMS28-AUG-2025PE360,0.0,0.1,0.1,0.1,0.1,0.1,0.1,85.0,1050.0,1.0,453.7,378105.0,105.0,SONACOMS28,AUG,2025360.0,PE,0.0,inf,0.00022400955879448592,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKSONACOMS28-AUG-2025CE560,0.0,0.05,0.05,0.05,0.05,0.0,0.0,62.0,12600.0,12.0,453.7,7056630.0,630.0,SONACOMS28,AUG,2025560.0,CE,0.0,inf,0.00022398744051027863,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKSONACOMS30-SEP-2025PE540,88.5,77.0,77.1,77.0,77.1,86.1,2.4,3.0,3150.0,3.0,453.7,1943655.0,242655.0,SONACOMS30,SEP,2025540.0,PE,12.970168612191223,-0.12881355932203395,0.0002239896521421448,,,2025-08-27,0.09999999999999432,12.970168612191223,0.04999999999999716,0.03999999999999773
OPTSTKSONACOMS30-SEP-2025CE420,43.5,34.8,34.8,34.8,34.8,45.1,1.6,2.0,1050.0,1.0,453.7,477540.0,36540.0,SONACOMS30,SEP,2025420.0,CE,0.0,-0.20000000000000007,0.00022400292285056927,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKSONACOMS30-SEP-2025PE520,70.75,60.0,60.0,60.0,60.0,60.0,10.75,2.0,1050.0,1.0,453.7,609000.0,63000.0,SONACOMS30,SEP,2025520.0,PE,0.0,-0.1519434628975265,0.00022399186381768632,,,2025-08-27,0.0,0.0,0.0,0.0
