DATE,EXPIRY,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,OPTION TYPE,STRIKE PRICE
2023-07-26,2023-07-27,45989.9,46090.0,45846.8,46047.0,46057.0,46047.0,2117250,15,97359203045.25,1148265.0,-195840.0,BANKNIFTY,FUTIDX,2023,,
2023-07-25,2023-07-27,46110.0,46119.5,45650.0,45924.2,45929.75,45924.2,2253945,15,103409321205.75,1344105.0,-368460.0,BANKNIFTY,FUTIDX,2023,,
2023-07-24,2023-07-27,46099.0,46222.0,45863.4,45980.05,45988.3,45980.05,2135460,15,98291487380.25,1712565.0,-418710.0,BANKNIFTY,FUTIDX,2023,,
2023-07-21,2023-07-27,46075.0,46360.0,45982.8,46108.05,46170.3,46108.05,2540775,15,117254757122.25,2131275.0,-154305.0,BANKNIFTY,FUTIDX,2023,,
2023-07-20,2023-07-27,45774.05,46209.0,45668.75,46151.4,46145.85,46151.4,2656440,15,122024491558.5,2285580.0,134775.0,BANKNIFTY,FUTIDX,2023,,
2023-07-19,2023-07-27,45650.0,45748.75,45486.35,45717.55,45738.5,45717.55,2132880,15,97335649476.0,2150805.0,75135.0,BANKNIFTY,FUTIDX,2023,,
2023-07-18,2023-07-27,45750.0,45925.0,45356.0,45484.5,45461.0,45484.5,3746850,15,170942870117.25,2075670.0,-357210.0,BANKNIFTY,FUTIDX,2023,,
2023-07-17,2023-07-27,44960.05,45588.2,44777.9,45504.9,45540.0,45504.9,3633390,15,164014064031.75,2432880.0,296160.0,BANKNIFTY,FUTIDX,2023,,
2023-07-14,2023-07-27,44882.2,44964.95,44674.55,44902.65,44950.2,44902.65,2444685,15,109577402573.25,2136720.0,-115005.0,BANKNIFTY,FUTIDX,2023,,
2023-07-13,2023-07-27,45098.9,45133.7,44728.25,44776.4,44812.0,44776.4,3615795,15,162537774659.25,2251725.0,-215250.0,BANKNIFTY,FUTIDX,2023,,
2023-07-12,2023-07-27,44955.55,45017.7,44750.0,44803.3,44805.9,44803.3,2167425,15,97308393300.0,2466975.0,-208680.0,BANKNIFTY,FUTIDX,2023,,
2023-07-11,2023-07-27,45051.1,45180.0,44786.55,44871.45,44901.0,44871.45,2374455,15,106917522253.5,2675655.0,-5910.0,BANKNIFTY,FUTIDX,2023,,
2023-07-10,2023-07-27,45045.0,45249.6,44814.5,44944.95,44960.0,44944.95,2090325,15,94058760561.0,2681565.0,-76440.0,BANKNIFTY,FUTIDX,2023,,
2023-07-07,2023-07-27,45225.0,45299.5,44920.0,45029.6,45003.0,45029.6,2773020,15,125026427043.0,2758005.0,-127170.0,BANKNIFTY,FUTIDX,2023,,
2023-07-06,2023-07-27,45190.0,45460.55,45130.1,45411.2,45400.0,45411.2,1965375,15,89077360544.25,2885175.0,200040.0,BANKNIFTY,FUTIDX,2023,,
2023-07-05,2023-07-27,45299.8,45480.0,45175.0,45237.3,45271.0,45237.3,1639185,15,74228322661.5,2685135.0,-65580.0,BANKNIFTY,FUTIDX,2023,,
2023-07-04,2023-07-27,45366.55,45747.8,45092.3,45364.5,45365.05,45364.5,2617095,15,118808190942.0,2750715.0,91575.0,BANKNIFTY,FUTIDX,2023,,
2023-07-03,2023-07-27,44989.0,45445.0,44906.25,45274.1,45288.0,45274.1,1961460,15,88778128361.25,2659140.0,119625.0,BANKNIFTY,FUTIDX,2023,,
2023-06-30,2023-07-27,44625.5,44893.15,44551.1,44850.5,44855.3,44850.5,1762950,15,78901676995.5,2539515.0,310500.0,BANKNIFTY,FUTIDX,2023,,
2023-06-28,2023-07-27,44420.0,44579.5,44255.0,44447.45,44490.0,44447.45,2326740,15,103388909930.25,2229015.0,658065.0,BANKNIFTY,FUTIDX,2023,,
2023-06-27,2023-07-27,43832.45,44283.5,43832.45,44214.7,44263.95,44214.7,1395735,15,61445482290.75,1570950.0,690585.0,BANKNIFTY,FUTIDX,2023,,
2023-08-31,2023-08-31,44219.45,44388.0,43872.95,43944.3,43987.55,43989.15,3320745,15,146178894530.25,746760.0,-274065.0,BANKNIFTY,FUTIDX,2023,,
2023-08-30,2023-08-31,44636.4,44781.15,44116.85,44232.2,44189.9,44232.2,2390640,15,106445874637.5,1020825.0,-237060.0,BANKNIFTY,FUTIDX,2023,,
2023-08-29,2023-08-31,44605.55,44688.0,44443.15,44500.5,44516.4,44500.5,1833645,15,81645937856.25,1257885.0,-187470.0,BANKNIFTY,FUTIDX,2023,,
2023-08-28,2023-08-31,44299.0,44614.95,44217.2,44486.65,44500.0,44486.65,2023020,15,89904883877.25,1445355.0,-67695.0,BANKNIFTY,FUTIDX,2023,,
2023-08-25,2023-08-31,44350.0,44399.7,43987.7,44222.85,44170.0,44222.85,2561670,15,113309214120.75,1513050.0,-64335.0,BANKNIFTY,FUTIDX,2023,,
2023-08-24,2023-08-31,44705.3,45009.95,44525.0,44559.1,44525.0,44559.1,3690060,15,165009903408.0,1577385.0,-259725.0,BANKNIFTY,FUTIDX,2023,,
