DATE,EXPIRY,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE
2025-02-05,2025-02-27,50455.3,50688.6,50380.0,50531.1,50495.0,50531.1,1206330,30,60997919976.0,2628150.0,-83880.0,BANKNIFTY,FUTIDX
2025-02-04,2025-02-27,49702.05,50360.95,49700.0,50315.55,50325.0,50315.55,2419620,30,121242521980.5,2712030.0,-376230.0,BANKNIFTY,FUTIDX
2025-02-03,2025-02-27,49294.7,49645.0,49200.0,49505.15,49505.05,49505.15,1409130,30,69651132892.5,3088260.0,-65430.0,BANKNIFTY,FUTIDX
2025-02-01,2025-02-27,49720.0,50250.0,49151.3,49768.6,49774.95,49768.6,2944860,30,146557394131.5,3153690.0,43590.0,BANKNIFTY,FUTIDX
2025-01-31,2025-02-27,49700.0,49995.0,49364.5,49862.0,49882.05,49862.0,2020770,30,100405454215.5,3110100.0,185070.0,BANKNIFTY,FUTIDX
2025-01-30,2025-02-27,49495.5,49737.0,49357.85,49686.5,49730.9,49686.5,1657710,30,82239606396.0,2925030.0,531750.0,BANKNIFTY,FUTIDX
2025-01-29,2025-02-27,49300.0,49478.5,49135.0,49435.5,49476.2,49435.5,1065690,30,52583701095.0,2393280.0,363300.0,BANKNIFTY,FUTIDX
2025-01-28,2025-02-27,48720.0,49513.0,48664.15,49157.4,49192.0,49157.4,1269660,30,62456858839.5,2029980.0,293550.0,BANKNIFTY,FUTIDX
2025-03-27,2025-03-27,51160.0,51701.9,51068.1,51591.9,51585.9,51575.85,1036500,30,53443833211.5,1056210.0,-290070.0,BANKNIFTY,FUTIDX
2025-03-26,2025-03-27,51649.85,51958.85,51161.0,51273.45,51285.1,51273.45,1541670,30,79415073403.5,1346280.0,-388410.0,BANKNIFTY,FUTIDX
2025-03-25,2025-03-27,51950.1,52050.0,51567.0,51665.2,51581.9,51665.2,1611930,30,83498323368.0,1734690.0,-379680.0,BANKNIFTY,FUTIDX
2025-03-24,2025-03-27,51001.25,51839.4,50800.0,51753.9,51825.85,51753.9,1783740,30,91813407085.5,2114370.0,-377070.0,BANKNIFTY,FUTIDX
2025-03-21,2025-03-27,50010.3,50630.0,49980.0,50593.75,50609.0,50593.75,1334430,30,67282693125.0,2491440.0,-273240.0,BANKNIFTY,FUTIDX
2025-03-20,2025-03-27,50000.05,50174.1,49830.0,50097.1,50075.0,50097.1,1115280,30,55779337155.0,2764680.0,-173580.0,BANKNIFTY,FUTIDX
2025-03-19,2025-03-27,49600.05,49878.95,49435.2,49808.15,49817.4,49808.15,1130940,30,56215245256.5,2938260.0,-39330.0,BANKNIFTY,FUTIDX
2025-03-18,2025-03-27,48751.05,49481.1,48664.1,49422.4,49480.0,49422.4,1900920,30,93352095430.5,2977590.0,-84060.0,BANKNIFTY,FUTIDX
2025-03-17,2025-03-27,48250.05,48589.6,48241.15,48485.6,48500.0,48485.6,1015290,30,49213939171.5,3061650.0,45090.0,BANKNIFTY,FUTIDX
2025-03-13,2025-03-27,48300.0,48461.0,48100.0,48160.2,48101.0,48160.2,1037940,30,50094962913.0,3016560.0,35820.0,BANKNIFTY,FUTIDX
2025-03-12,2025-03-27,48055.05,48330.0,47939.7,48213.9,48215.0,48213.9,1239240,30,59686334433.0,2980740.0,-19230.0,BANKNIFTY,FUTIDX
2025-03-11,2025-03-27,47999.95,48150.0,47751.6,47999.5,48060.0,47999.5,1324470,30,63526503402.0,2999970.0,149400.0,BANKNIFTY,FUTIDX
2025-03-10,2025-03-27,48489.9,48702.95,48220.0,48315.35,48251.0,48315.35,1118340,30,54227417718.0,2850570.0,7470.0,BANKNIFTY,FUTIDX
2025-03-07,2025-03-27,48626.0,48896.35,48510.0,48680.15,48625.0,48680.15,1338000,30,65151590808.0,2843100.0,7170.0,BANKNIFTY,FUTIDX
2025-03-06,2025-03-27,48894.7,49099.9,48526.0,48780.35,48786.0,48780.35,1279710,30,62397936891.0,2835930.0,-159780.0,BANKNIFTY,FUTIDX
2025-03-05,2025-03-27,48492.0,48879.95,48433.15,48714.7,48730.0,48714.7,1189020,30,57909343321.5,2995710.0,-69570.0,BANKNIFTY,FUTIDX
2025-03-04,2025-03-27,48250.0,48619.85,48110.3,48472.25,48492.0,48472.25,1358400,30,65777265124.5,3065280.0,-263190.0,BANKNIFTY,FUTIDX
2025-03-03,2025-03-27,48775.75,48856.4,48116.7,48396.0,48410.0,48396.0,1395900,30,67526637321.0,3328470.0,-9660.0,BANKNIFTY,FUTIDX
2025-02-28,2025-03-27,48734.0,48943.65,48318.3,48628.25,48587.1,48628.25,1775250,30,86276380501.5,3338130.0,26640.0,BANKNIFTY,FUTIDX
2025-02-27,2025-03-27,49000.15,49270.75,48926.3,49034.6,48976.75,49034.6,1578660,30,77575545100.5,3311490.0,843150.0,BANKNIFTY,FUTIDX
2025-02-25,2025-03-27,48850.25,49179.4,48850.25,48992.75,48944.95,48992.75,942450,30,46185626617.5,2468340.0,598110.0,BANKNIFTY,FUTIDX
2025-04-24,2025-04-24,55244.0,55576.4,55130.0,55233.6,55209.8,55201.4,1005060,30,55639266546.0,926640.0,-304020.0,BANKNIFTY,FUTIDX
2025-04-23,2025-04-24,55865.0,55900.2,55184.8,55400.6,55385.6,55400.6,1370220,30,75965350128.0,1230660.0,-383400.0,BANKNIFTY,FUTIDX
2025-04-22,2025-04-24,55360.0,55900.0,55252.0,55576.8,55548.2,55576.8,1458720,30,81172805952.0,1614060.0,-208140.0,BANKNIFTY,FUTIDX
2025-04-21,2025-04-24,54640.8,55416.6,54577.8,55293.8,55280.0,55293.8,2109150,30,116325490044.0,1822200.0,-259770.0,BANKNIFTY,FUTIDX
2025-04-17,2025-04-24,53095.8,54373.2,53049.8,54201.4,54223.6,54201.4,1880430,30,101167636632.0,2081970.0,-146070.0,BANKNIFTY,FUTIDX
2025-04-16,2025-04-24,52550.0,53152.0,52433.6,53082.8,53136.6,53082.8,1465230,30,77409611298.0,2228040.0,-25470.0,BANKNIFTY,FUTIDX
2025-04-15,2025-04-24,52099.6,52460.0,51802.0,52383.6,52460.0,52383.6,1693920,30,88490987358.0,2253510.0,80040.0,BANKNIFTY,FUTIDX
2025-04-11,2025-04-24,50799.0,51385.0,50799.0,51162.05,51174.95,51162.05,1563360,30,79974782986.5,2173470.0,53910.0,BANKNIFTY,FUTIDX
2025-04-09,2025-04-24,50600.0,50754.85,50040.3,50468.6,50485.0,50468.6,1814310,30,91462932208.5,2119560.0,-18270.0,BANKNIFTY,FUTIDX
2025-04-08,2025-04-24,50502.05,50966.55,50264.9,50768.2,50824.0,50768.2,1833780,30,92923212661.5,2137830.0,-102390.0,BANKNIFTY,FUTIDX
2025-04-07,2025-04-24,49901.2,50784.95,49366.1,50095.7,50172.3,50095.7,3624570,30,181387496631.0,2240220.0,-44130.0,BANKNIFTY,FUTIDX
2025-04-04,2025-04-24,51710.0,51993.0,51459.15,51593.55,51650.2,51593.55,1704090,30,88134054541.5,2284350.0,-53400.0,BANKNIFTY,FUTIDX
2025-04-03,2025-04-24,51299.9,51865.3,51200.0,51798.5,51803.15,51798.5,1287030,30,66461573716.5,2337750.0,130230.0,BANKNIFTY,FUTIDX
2025-04-02,2025-04-24,51116.25,51647.95,51055.55,51581.15,51645.0,51581.15,1158810,30,59611968487.5,2207520.0,900.0,BANKNIFTY,FUTIDX
2025-04-01,2025-04-24,51683.95,51920.0,51050.0,51187.1,51191.0,51187.1,1810290,30,92929226469.0,2206620.0,-485670.0,BANKNIFTY,FUTIDX
2025-03-28,2025-04-24,52050.0,52125.0,51631.05,51840.85,51840.0,51840.85,1627410,30,84407100649.5,2692290.0,-41490.0,BANKNIFTY,FUTIDX
2025-03-27,2025-04-24,51495.05,51970.0,51418.35,51907.6,51965.0,51907.6,1378890,30,71483150536.5,2733780.0,486480.0,BANKNIFTY,FUTIDX
2025-03-26,2025-04-24,51621.05,52223.85,51505.0,51602.85,51590.0,51602.85,1141800,30,59199946204.5,2247300.0,415740.0,BANKNIFTY,FUTIDX
2025-03-25,2025-04-24,52294.7,52350.0,51875.0,51984.75,51890.0,51984.75,1025640,30,53427989958.0,1831560.0,394860.0,BANKNIFTY,FUTIDX
2025-05-29,2025-05-29,55659.8,55747.8,55083.0,55474.4,55542.2,55546.05,1198470,30,66337911360.0,495480.0,-299880.0,BANKNIFTY,FUTIDX
2025-05-28,2025-05-29,55424.4,55575.0,55290.4,55445.6,55459.0,55445.6,1082760,30,60014642082.0,795360.0,-277140.0,BANKNIFTY,FUTIDX
2025-05-27,2025-05-29,55590.8,55940.0,55069.2,55472.6,55432.2,55472.6,1986660,30,110203947576.0,1072500.0,-340410.0,BANKNIFTY,FUTIDX
2025-05-26,2025-05-29,55586.4,55980.0,55357.0,55687.0,55697.4,55687.0,1280460,30,71299445754.0,1412910.0,-210720.0,BANKNIFTY,FUTIDX
2025-05-23,2025-05-29,55149.0,55559.4,54941.4,55495.6,55519.8,55495.6,1253370,30,69360024384.0,1623630.0,-36750.0,BANKNIFTY,FUTIDX
2025-05-22,2025-05-29,54944.8,55120.0,54700.0,55068.4,55090.0,55068.4,1024380,30,56254426662.0,1660380.0,-22140.0,BANKNIFTY,FUTIDX
2025-05-21,2025-05-29,55201.0,55450.0,54773.0,55142.0,55130.0,55142.0,1408200,30,77657109888.0,1682520.0,-13620.0,BANKNIFTY,FUTIDX
2025-05-20,2025-05-29,55700.0,55701.6,55030.0,55103.8,55087.0,55103.8,1137660,30,62878650192.0,1696140.0,-24420.0,BANKNIFTY,FUTIDX
2025-05-19,2025-05-29,55536.2,55831.4,55403.4,55514.8,55512.2,55514.8,1082640,30,60214171440.0,1720560.0,25350.0,BANKNIFTY,FUTIDX
2025-05-16,2025-05-29,55405.4,55600.0,55252.6,55503.2,55516.2,55503.2,760500,30,42169534776.0,1695210.0,-119940.0,BANKNIFTY,FUTIDX
2025-05-15,2025-05-29,54970.0,55499.6,54625.0,55399.6,55376.0,55399.6,1681410,30,92655825444.0,1815150.0,51330.0,BANKNIFTY,FUTIDX
2025-05-14,2025-05-29,55124.4,55258.4,54576.8,54910.0,54972.0,54910.0,1227780,30,67415177904.0,1763820.0,-6450.0,BANKNIFTY,FUTIDX
2025-05-13,2025-05-29,55644.0,55644.0,55042.0,55089.0,55100.0,55089.0,1584000,30,87496317468.0,1770270.0,-144900.0,BANKNIFTY,FUTIDX
2025-05-12,2025-05-29,54648.0,55680.8,54502.2,55599.2,55671.0,55599.2,2272470,30,125672310408.0,1915170.0,114420.0,BANKNIFTY,FUTIDX
2025-05-09,2025-05-29,54400.0,54400.0,53585.0,53732.0,53808.4,53732.0,1671630,30,89971646760.0,1800750.0,-100980.0,BANKNIFTY,FUTIDX
2025-05-08,2025-05-29,54806.2,55029.0,54150.0,54288.6,54184.0,54288.6,1563120,30,85342177674.0,1901730.0,10050.0,BANKNIFTY,FUTIDX
2025-05-07,2025-05-29,54250.0,54796.0,54037.6,54671.0,54720.0,54671.0,1739550,30,94872525444.0,1891680.0,-155250.0,BANKNIFTY,FUTIDX
2025-05-06,2025-05-29,55050.6,55205.8,54267.0,54363.0,54267.0,54363.0,1364640,30,74591954448.0,2046930.0,-130800.0,BANKNIFTY,FUTIDX
2025-05-05,2025-05-29,55124.8,55448.0,54915.0,55080.6,55081.0,55080.6,1251960,30,69013984212.0,2177730.0,-74340.0,BANKNIFTY,FUTIDX
