DATE,EXPIRY,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,OPTION TYPE,STRIKE PRICE
2024-08-07,2024-08-29,1333.0,1449.0,1288.5,1409.1,1415.0,1409.1,52400,25,1277158561.25,529525.0,-325.0,NIFTY,OPTIDX,CE,23000.0
2024-08-06,2024-08-29,1400.0,1464.55,1140.0,1176.0,1195.35,1176.0,92775,25,2252613495.0,529850.0,16825.0,NIFTY,OPTIDX,CE,23000.0
2024-08-05,2024-08-29,1412.0,1444.4,1163.0,1265.8,1259.6,1265.8,233975,25,5680367210.0,513025.0,-35600.0,NIFTY,OPTIDX,CE,23000.0
2024-08-02,2024-08-29,1850.0,1882.5,1688.75,1727.6,1716.0,1727.6,45025,25,1116114273.75,548625.0,-14525.0,NIFTY,OPTIDX,CE,23000.0
2024-08-01,2024-08-29,2070.0,2126.35,1936.7,2022.95,2026.8,2022.95,57500,25,1439876477.5,563150.0,20650.0,NIFTY,OPTIDX,CE,23000.0
2024-07-31,2024-08-29,1965.05,2029.95,1916.3,2017.8,2025.0,2017.8,37650,25,940901883.75,542500.0,8625.0,NIFTY,OPTIDX,CE,23000.0
2024-07-30,2024-08-29,1875.05,2014.6,1872.05,1932.2,1925.1,1932.2,13075,25,326366775.0,533875.0,-1350.0,NIFTY,OPTIDX,CE,23000.0
2024-08-29,2024-08-29,0.3,0.35,0.05,0.1,0.05,25151.95,3922200,25,90211116297.5,3092650.0,-421850.0,NIFTY,OPTIDX,PE,23000.0
2024-08-28,2024-08-29,0.9,1.15,0.3,0.4,0.35,0.4,5246850,25,120680977025.0,3514500.0,-475525.0,NIFTY,OPTIDX,PE,23000.0
2024-08-27,2024-08-29,1.65,1.7,0.9,1.05,0.95,1.05,4413700,25,101520725477.5,3990025.0,-265575.0,NIFTY,OPTIDX,PE,23000.0
2024-08-26,2024-08-29,1.4,2.2,1.4,2.0,1.95,2.0,10553350,25,242745986867.5,4255600.0,-329350.0,NIFTY,OPTIDX,PE,23000.0
2024-08-23,2024-08-29,2.4,2.6,1.9,2.3,2.3,2.3,8310800,25,191166822866.25,4584950.0,-154350.0,NIFTY,OPTIDX,PE,23000.0
2024-08-22,2024-08-29,3.2,3.3,2.2,2.75,2.8,2.75,6699350,25,154101863757.5,4739300.0,568550.0,NIFTY,OPTIDX,PE,23000.0
2024-08-21,2024-08-29,6.45,6.6,3.3,3.55,3.55,3.55,3115400,25,71667816801.25,4170750.0,270200.0,NIFTY,OPTIDX,PE,23000.0
2024-08-20,2024-08-29,9.0,9.0,6.3,6.55,6.45,6.55,2616575,25,60199983678.75,3900550.0,18000.0,NIFTY,OPTIDX,PE,23000.0
2024-08-19,2024-08-29,12.95,13.0,8.7,9.5,9.0,9.5,2573375,25,59212531220.0,3882550.0,-74350.0,NIFTY,OPTIDX,PE,23000.0
2024-08-16,2024-08-29,22.25,23.95,12.7,13.45,13.5,13.45,5011025,25,115331299987.5,3956900.0,144900.0,NIFTY,OPTIDX,PE,23000.0
2024-08-14,2024-08-29,47.5,47.55,27.45,31.3,32.25,31.3,3404725,25,78421314157.5,3812000.0,229875.0,NIFTY,OPTIDX,PE,23000.0
2024-08-13,2024-08-29,37.0,52.1,28.6,46.35,47.5,46.35,3408700,25,78528509053.75,3582125.0,96100.0,NIFTY,OPTIDX,PE,23000.0
2024-08-12,2024-08-29,40.0,49.95,29.5,36.9,37.7,36.9,2822325,25,65015682980.0,3486025.0,66875.0,NIFTY,OPTIDX,PE,23000.0
2024-08-09,2024-08-29,55.0,55.0,36.0,39.45,36.6,39.45,2474975,25,57025485883.75,3419150.0,251475.0,NIFTY,OPTIDX,PE,23000.0
2024-08-08,2024-08-29,60.0,93.3,55.9,76.85,77.65,76.85,3108975,25,71732804490.0,3167675.0,80050.0,NIFTY,OPTIDX,PE,23000.0
2024-08-07,2024-08-29,80.05,87.0,54.3,57.55,55.9,57.55,3169175,25,73124647442.5,3087625.0,-25000.0,NIFTY,OPTIDX,PE,23000.0
2024-08-06,2024-08-29,161.0,161.0,75.65,138.35,128.5,138.35,3590650,25,82985721226.25,3112625.0,144000.0,NIFTY,OPTIDX,PE,23000.0
2024-08-05,2024-08-29,56.95,277.9,51.0,176.0,183.0,176.0,7795625,25,180530524301.25,2968625.0,357975.0,NIFTY,OPTIDX,PE,23000.0
2024-08-02,2024-08-29,23.05,38.0,19.55,34.5,34.3,34.5,2275750,25,52404504183.75,2610650.0,-69100.0,NIFTY,OPTIDX,PE,23000.0
2024-08-01,2024-08-29,18.95,19.25,16.0,17.05,16.4,17.05,1123375,25,25856882932.5,2679750.0,-27600.0,NIFTY,OPTIDX,PE,23000.0
2024-07-31,2024-08-29,20.05,22.65,19.5,20.85,20.25,20.85,1093650,25,25176793696.25,2707350.0,142000.0,NIFTY,OPTIDX,PE,23000.0
2024-07-30,2024-08-29,24.95,27.0,18.3,20.65,19.05,20.65,822825,25,18941582538.75,2565350.0,47300.0,NIFTY,OPTIDX,PE,23000.0
2024-08-29,2024-08-29,1034.45,1213.45,985.0,1167.3,1154.15,25151.95,1080600,25,27141417271.25,1211225.0,-132900.0,NIFTY,OPTIDX,CE,24000.0
2024-08-28,2024-08-29,1025.05,1148.75,986.9,1048.7,1054.0,1048.7,266975,25,6693376275.0,1344125.0,-91475.0,NIFTY,OPTIDX,CE,24000.0
2024-08-27,2024-08-29,1040.0,1096.35,983.6,1018.3,1008.0,1018.3,496375,25,12434202193.75,1435600.0,-208125.0,NIFTY,OPTIDX,CE,24000.0
2024-08-26,2024-08-29,915.75,1090.15,889.4,1047.95,1048.0,1047.95,284500,25,7118628802.5,1643725.0,-114300.0,NIFTY,OPTIDX,CE,24000.0
2024-08-23,2024-08-29,844.95,890.75,800.9,861.45,864.8,861.45,451525,25,11224200641.25,1758025.0,-51000.0,NIFTY,OPTIDX,CE,24000.0
2024-08-22,2024-08-29,842.7,876.4,819.0,849.6,849.75,849.6,288450,25,7167703442.5,1809025.0,-30425.0,NIFTY,OPTIDX,CE,24000.0
2024-08-21,2024-08-29,729.0,818.1,708.0,810.3,811.0,810.3,309675,25,7671441040.0,1839450.0,-82150.0,NIFTY,OPTIDX,CE,24000.0
2024-08-20,2024-08-29,694.0,789.0,656.0,734.3,728.85,734.3,410275,25,10148616158.75,1921600.0,-70650.0,NIFTY,OPTIDX,CE,24000.0
2024-08-19,2024-08-29,699.95,700.0,584.0,635.7,637.0,635.7,535075,25,13185693807.5,1992250.0,-43325.0,NIFTY,OPTIDX,CE,24000.0
2024-08-16,2024-08-29,460.0,659.7,386.7,646.5,653.45,646.5,2273000,25,55711207155.0,2035575.0,-176350.0,NIFTY,OPTIDX,CE,24000.0
2024-08-14,2024-08-29,444.0,444.0,345.35,365.75,363.0,365.75,2136975,25,52077383122.5,2211925.0,431775.0,NIFTY,OPTIDX,CE,24000.0
2024-08-13,2024-08-29,511.05,536.5,370.3,388.5,389.9,388.5,1595750,25,38994681651.25,1780150.0,9600.0,NIFTY,OPTIDX,CE,24000.0
2024-08-12,2024-08-29,517.6,649.3,476.95,517.25,526.0,517.25,1069950,25,26268799441.25,1770550.0,-90575.0,NIFTY,OPTIDX,CE,24000.0
2024-08-09,2024-08-29,520.0,596.0,500.4,561.6,562.0,561.6,1227800,25,30148537377.5,1861125.0,-126325.0,NIFTY,OPTIDX,CE,24000.0
2024-08-08,2024-08-29,506.0,570.0,407.0,421.15,420.5,421.15,2707425,25,66267803522.5,1987450.0,-92175.0,NIFTY,OPTIDX,CE,24000.0
2024-08-07,2024-08-29,544.65,610.95,488.2,574.7,578.5,574.7,2406325,25,59081850616.25,2079625.0,-99250.0,NIFTY,OPTIDX,CE,24000.0
2024-08-06,2024-08-29,585.0,633.0,421.0,444.4,459.3,444.4,3666225,25,89863160722.5,2178875.0,48150.0,NIFTY,OPTIDX,CE,24000.0
2024-08-05,2024-08-29,640.05,640.05,460.05,514.7,515.0,514.7,5883225,25,144190365231.25,2130725.0,912950.0,NIFTY,OPTIDX,CE,24000.0
2024-08-02,2024-08-29,900.0,958.9,808.0,837.45,824.5,837.45,298850,25,7437269980.0,1217775.0,-16725.0,NIFTY,OPTIDX,CE,24000.0
2024-08-01,2024-08-29,1148.25,1184.85,1051.1,1082.65,1079.95,1082.65,186075,25,4671301472.5,1234500.0,10250.0,NIFTY,OPTIDX,CE,24000.0
2024-07-31,2024-08-29,1016.15,1101.0,992.05,1084.1,1095.05,1084.1,127125,25,3186104442.5,1224250.0,50.0,NIFTY,OPTIDX,CE,24000.0
2024-07-30,2024-08-29,966.95,1085.25,950.05,1006.15,1005.0,1006.15,114450,25,2864244442.5,1224200.0,-3575.0,NIFTY,OPTIDX,CE,24000.0
2024-08-29,2024-08-29,0.3,0.4,0.05,0.1,0.1,25151.95,26040000,25,624965109557.5,5511025.0,-1994400.0,NIFTY,OPTIDX,PE,24000.0
